[ 2026-01-05 13:04:52,822 ] - root - INFO - Initiate the data ingestion
[ 2026-01-05 13:04:56,448 ] - root - INFO - Performed train and test split on the dataframe
[ 2026-01-05 13:04:56,471 ] - root - INFO - Expoted train and train file path
[ 2026-01-05 13:04:56,487 ] - root - INFO - Expoted train and test file path
[ 2026-01-05 13:04:56,487 ] - root - INFO - Data ingestion is completed
[ 2026-01-05 13:04:56,495 ] - root - INFO - Initiate the data validation
[ 2026-01-05 13:04:56,508 ] - root - INFO - Required number of columns: 2 
[ 2026-01-05 13:04:56,508 ] - root - INFO - Dataframe has columns: 31
[ 2026-01-05 13:04:56,508 ] - root - INFO - Required number of columns: 2 
[ 2026-01-05 13:04:56,508 ] - root - INFO - Dataframe has columns: 31
[ 2026-01-05 13:04:56,699 ] - root - INFO - Data validation is completed
[ 2026-01-05 13:04:56,699 ] - root - INFO - Initiate the data transformation
[ 2026-01-05 13:04:56,699 ] - root - INFO - >>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>> Data Transformation <<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<
[ 2026-01-05 13:04:56,699 ] - root - INFO - Initiating data transformation
[ 2026-01-05 13:04:56,699 ] - root - INFO - Reading data from file: Artifcats\01_05_2026_13_04_51\data_ingestion\ingested\train.csv
[ 2026-01-05 13:04:56,713 ] - root - INFO - Reading data from file: Artifcats\01_05_2026_13_04_51\data_ingestion\ingested\test.csv
[ 2026-01-05 13:04:56,718 ] - root - INFO - Loading training and testing data
[ 2026-01-05 13:04:56,720 ] - root - INFO - Obtaining preprocessing object
[ 2026-01-05 13:04:56,721 ] - root - INFO - Creating data transformer object
[ 2026-01-05 13:04:56,721 ] - root - INFO - Applying preprocessing object on training and testing data
[ 2026-01-05 13:04:56,723 ] - root - INFO - Saving transformed training and testing arrays
[ 2026-01-05 13:04:56,723 ] - root - INFO - Entered the save_object method of MainUtils class
[ 2026-01-05 13:04:56,723 ] - root - INFO - Exited the save_object method of MainUtils class
[ 2026-01-05 13:04:56,723 ] - root - INFO - Data transformation artifact: DataTransformationArtifact(transformed_object_file_path='Artifcats\\01_05_2026_13_04_51\\data_transformation\\transformed_object\\preprocessing_object.pkl', transformed_train_file_path='Artifcats\\01_05_2026_13_04_51\\data_transformation\\transformed\\train.npy', transformed_test_file_path='Artifcats\\01_05_2026_13_04_51\\data_transformation\\transformed\\test.npy')
[ 2026-01-05 13:04:56,738 ] - root - INFO - Data transformation is completed
[ 2026-01-05 13:04:56,738 ] - root - INFO - Data taraining is started
[ 2026-01-05 13:07:18,629 ] - root - INFO - Entered the save_object method of MainUtils class
[ 2026-01-05 13:07:18,635 ] - root - INFO - Exited the save_object method of MainUtils class
[ 2026-01-05 13:07:18,635 ] - root - INFO - Model trainer artifact: ModelTrainerArtifact(trained_model_file_path='Artifcats\\01_05_2026_13_04_51\\model_trainer\\trained_model\\model.pkl', train_metric_artifact=ClassificationMetricArtifact(f1_score=0.9913993726601235, precision_score=0.9879007864488808, recall_score=0.9949228269699432), test_metric_artifact=ClassificationMetricArtifact(f1_score=0.9731247492980345, precision_score=0.9626984126984127, recall_score=0.9837793998377939))
[ 2026-01-05 13:07:18,635 ] - root - INFO - Data training is completed
